Test Method,# configuration parameter,Configuration Key
org.apache.flink.api.java.typeutils.runtime.kryo.KryoWithCustomSerializersTest#testNestedObjects,2,[pipeline.generic-types=true;pipeline.force-kryo=false;]
org.apache.flink.api.common.operators.base.OuterJoinOperatorBaseTest#testFullOuterJoinWithPartialMatchingKeys,1,[pipeline.object-reuse=true;]
org.apache.flink.api.common.operators.base.MapOperatorTest#testMapPlain,1,[pipeline.object-reuse=true;]
org.apache.flink.core.security.FlinkSecurityManagerTest#testRegistrationNotAllowedByExistingSecurityManager,2,[cluster.intercept-user-system-exit=THROW;cluster.processes.halt-on-fatal-error=false;]
org.apache.flink.configuration.ConfigurationTest#testMapNotContained,1,[test-map-key=Optional.empty;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoWithCustomSerializersTest#testCompositeObject,2,[pipeline.generic-types=true;pipeline.force-kryo=false;]
org.apache.flink.configuration.ConfigurationTest#testDeprecatedKeys,7,[the-key=11;old-key=Optional[12];older-key=Optional[13];does-not-exist=-1;foo=Optional.empty;not-there=Optional.empty;also-not-there=Optional.empty;]
org.apache.flink.configuration.ConfigUtilsTest#emptyArrayPutsEmptyValueInConfig,1,[test.option.key=[];]
org.apache.flink.api.common.io.GenericCsvInputFormatTest#testSparseParse,18,[taskmanager.runtime.fs_timeout=0;compiler.delimited-informat.max-line-samples=10;compiler.delimited-informat.min-line-samples=2;compiler.delimited-informat.max-sample-len=2097152;recursive.file.enumeration=false;delimited-format.delimiter=null;delimited-format.numSamples=null;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericTypeComparatorTest#testString,1,[pipeline.force-kryo=false;]
org.apache.flink.TestDebug#test,6,[myname=default;myage=0;fs.s3a.select.output.csv.quote.fields=null;hadoop.http.staticuser.user=null;fake2=200;fake3=300;]
org.apache.flink.api.common.io.FileInputFormatTest#testGetStatisticsMultipleFilesMultiplePathsNoCachedVersion,13,[taskmanager.runtime.fs_timeout=0;recursive.file.enumeration=false;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.operators.base.OuterJoinOperatorBaseTest#testRightOuterJoin,1,[pipeline.object-reuse=true;]
org.apache.flink.api.common.operators.base.OuterJoinOperatorBaseTest#testFullOuterJoinWithEmptyLeftInput,1,[pipeline.object-reuse=true;]
org.apache.flink.configuration.ConfigurationTest#testListParserErrorDoesNotLeakSensitiveData,1,[secret=Optional['secret_value];]
org.apache.flink.api.common.operators.base.OuterJoinOperatorBaseTest#testFullOuterJoinWithFullMatchingKeys,1,[pipeline.object-reuse=true;]
org.apache.flink.configuration.RestOptionsTest#testBindAddressFirstDeprecatedKey,2,[web.address=Optional[foobar];rest.bind-address=foobar;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoSerializerCompatibilityTest#testMigrationStrategyForDifferentRegistrationOrder,1,[pipeline.force-kryo=false;]
org.apache.flink.api.common.io.DelimitedInputFormatSamplingTest#testSamplingOneFile,18,[taskmanager.runtime.fs_timeout=0;compiler.delimited-informat.max-line-samples=4;compiler.delimited-informat.min-line-samples=4;compiler.delimited-informat.max-sample-len=2097152;recursive.file.enumeration=false;delimited-format.delimiter=null;delimited-format.numSamples=null;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.java.typeutils.runtime.PojoGenericTypeSerializerTest#testSimpleTypesObjects,2,[pipeline.generic-types=true;pipeline.force-kryo=false;]
org.apache.flink.api.common.serialization.TypeInformationSerializationSchemaTest#testDeSerialization,2,[pipeline.generic-types=true;pipeline.force-kryo=false;]
org.apache.flink.api.common.io.FileInputFormatTest#testSetPathNullPath,1,[taskmanager.runtime.fs_timeout=0;]
org.apache.flink.configuration.ConfigurationTest#testShouldParseValidStringToEnum,1,[test-string-key=VALUE1;]
org.apache.flink.api.common.io.FileOutputFormatTest#testOverwriteParallelLocalFS,13,[fs.overwrite-files=false;fs.output.always-create-directory=false;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericTypeComparatorTest#testCompositeObject,1,[pipeline.force-kryo=false;]
